word|score|sub|emotion|validar score|caso especial
avanzar|3|Entusiasmado|Alegría|*|
avanzará|3|Entusiasmado|Alegría|*|
avanzó|3|Entusiasmado|Alegría|*|
averigua|1|Confuso|Miedo|*|
averiguación|1|Confuso|Miedo|*|
averiguamos|1|Confuso|Miedo|*|
averiguando|1|Confuso|Miedo|*|
averiguar|1|Extrañeza|Sorpresa|*|
averiguarle|1|Confuso|Miedo|*|
averiguarlo|1|Confuso|Miedo|*|
averigüe|1|Confuso|Miedo|*|
averiguo|1|Confuso|Miedo|*|
averiguó|1|Confuso|Miedo|*|
aventura|1|Extrañeza|Sorpresa||
aventuras|2|Extrañeza|Sorpresa||
ayuda|3|Complacido|Alegría||
ayudar|3|Fe|Confianza|*|
ayudando|3|Fascinado|Alegría||
ayudó|3|Complacido|Alegría|*|
bajo|1|Desfavorable|Enfado||
banco|3|Seguridad|Confianza|*|
barato|2|Fascinado|Alegría|*|
barrera|-4|Desfavorable|Enfado||
basura|-1|Desfavorable|Enfado||
batalla|-2|Confuso|Miedo||
bellamente|3|Entusiasmado|Alegría||
belleza|3|Entusiasmado|Alegría||
bendiga|2|Fe|Confianza||
beneficio|2|Fe|Confianza||
beneficios|2|Fe|Confianza||
beneplácito|2|Entusiasmado|Alegría||
beso|2|Contento|Alegría||
besar|2|Contento|Alegría||
bien|3|Entusiasmado|Alegría||
bienvenida|2|Satisfecho|Alegría||
bizarro|2|Satisfecho|Alegría||
bloque|-4|Decepcionado|Tristeza||
bloqueado|-2|Decepcionado|Tristeza||
bloquear|-2|Decepcionado|Tristeza||
bloqueo|-2|Decepcionado|Tristeza||
bomba|2|Confuso|Miedo||
bonito|1|Entusiasmado|Alegría||
borracho|1|Desfavorable|Enfado||
borrado|3|Confuso|Miedo||
brillante|2|Contento|Alegría||
broma|-1|Extrañeza|Sorpresa||
bromas|-3|Extrañeza|Sorpresa||
brutal|-2|Descontento|Enfado||
bruto|-2|Descontento|Enfado|*|
bueno|3|Contento|Alegría|*|
buscar|3|Admiración|Sorpresa|*|
búsqueda|2|Extrañeza|Sorpresa|*|
cable|1|Confusión|Sorpresa|*|
caída|-1|Desafortunado|Enfado|*|
caído|-1|Desafortunado|Enfado||
calamidad|-2|Frustrado|Tristeza|*|
calamidades|-2|Frustrado|Tristeza|*|
calidad|2|Entusiasmado|Alegría||
cálido|2|Entusiasmado|Alegría||
calmar|1|Fe|Confianza||
campeón|2|Contento|Alegría||
campeones|3|Contento|Alegría||
cancelado|-1|Desfavorable|Enfado|*|
cancelando|-2|Molestia|Enfado|*|
cancelar|-2|Desfavorable|Enfado|*|
cancele|-2|Desfavorable|Enfado|*|
cáncer|-1|Pánico|Miedo||
cansado|1|irritado|Enfado||
caos|-2|molesto|Enfado||
capacidad|2|Complacido|Alegría|*|
capacidades|2|Complacido|Alegría|*|
capacitada|2|Complacido|Alegría|*|
capacitado|2|Complacido|Alegría|*|
capacitando|2|Complacido|Alegría|*|
capaz|3|Complacido|Alegría||
capricho|-1|Adverso|Enfado|*|
carga|-2|Adverso|Enfado||
cargado|1|Adverso|Enfado||
cargos|1|Hostil|Enfado||
caritativo|-2|Fe|Confianza||
castigada|1|Angustiado|Miedo||
castigado|-4|Angustiado|Miedo||
castigar||Angustiado|Miedo|*|
castigo|2|Angustiado|Miedo|*|
catástrofe|-3|Pánico|Miedo|*|
cayó|-2|Adverso|Enfado|*|
cayendo|-2|Adverso|Enfado||
ceder|1|Hostil|Enfado|*|
celebración|2|Entusiasmado|Alegría||
celebrar|1|Entusiasmado|Alegría||
censurado|1|Desesperado|Miedo||
certeza|3|Fascinado|Alegría|*|
certificar|3|Fe|Confianza|*|
choque|-2|Desesperado|Miedo||
chupar|-5|Complacido|Alegría||
ciego|2|Descontento|Enfado||
cielo|1|Entusiasmado|Alegría||
cierto|2|Fe|Confianza||
citación|1|Hostil|Enfado|*|
claramente|2|Tranquilo|Alegría||
claridad|2|Tranquilo|Alegría||
claro|2|Tranquilo|Alegría||
cliente|1|Tranquilo|Alegría|*|
cobra|-1|Desesperado|Miedo|*|
cobrándole|-1|Insatisfecho|Enfado|*|
cobrándolo|-1|Insatisfecho|Enfado|*|
cobrándose|-1|Insatisfecho|Enfado|*|
cobranza|-1|Insatisfecho|Enfado|*|
cobranzas|-1|Insatisfecho|Enfado|*|
cobrar|-1|Insatisfecho|Enfado|*|
cobrara|-1|Insatisfecho|Enfado|*|
cobrará|-1|Insatisfecho|Enfado|*|
cobrarán|-1|Pánico|Miedo|*|
cobraría|-1|Insatisfecho|Enfado|*|
cobrarían|-1|Insatisfecho|Enfado|*|
cobrarla|-1|Insatisfecho|Enfado|*|
cobrarle|-1|Insatisfecho|Enfado|*|
cobrarme|-1|Insatisfecho|Enfado|*|
cobrarnos|-1|Insatisfecho|Enfado|*|
cobraron|-1|Insatisfecho|Enfado|*|
cobre|-1|Insatisfecho|Enfado|*|
cobren|-1|Insatisfecho|Enfado|*|
cobro|-1|Pánico|Miedo|*|
cobró|-1|Insatisfecho|Enfado|*|
cobros|-1|molesto|Enfado|*|
coherencia|2|Entusiasmado|Alegría|*|
coherente|2|Fascinado|Alegría|*|
colaboraban|3|Entusiasmado|Alegría|*|
colaboralre|3|Entusiasmado|Alegría|*|
colaboran|3|Entusiasmado|Alegría|*|
colaborando|3|Entusiasmado|Alegría|*|
colaborara|3|Entusiasmado|Alegría|*|
colaboraran|3|Entusiasmado|Alegría|*|
colaboraras|3|Entusiasmado|Alegría|*|
colabores|3|Entusiasmado|Alegría|*|
colapso|-1|Descontento|Enfado|*|
combate|1|Enojado|Enfado||
comedia|1|Hostil|Enfado||
cometido|1|Complacido|Alegría||
comic|-2|Extrañeza|Sorpresa||
comodidad|2|Complacido|Alegría||
cómodo|2|Complacido|Alegría||
compacto|2|Fe|Confianza|*|
compañero|3|Confiado|Alegría|*|
compartido|2|Encantado|Alegría||
compartir|3|Encantado|Alegría||
compatible|2|Encantado|Alegría|*|
compensación|3|Entusiasmado|Alegría|*|
compensar|3|Agradecido|Alegría|*|
competente|1|Seguridad|Confianza||
competitivo|2|Seguridad|Confianza||
completamente|3|Esperanza|Confianza|*|
complicado|-3|Descontento|Enfado||
comprendiendo|3|Esperanza|Confianza|*|
comprendió|3|Esperanza|Confianza|*|
comprensible|3|Esperanza|Confianza|*|
comprensión|3|Esperanza|Confianza|*|
comprometan|3|Feliz|Alegría|*|
compromete|3|Feliz|Alegría|*|
comprometemos|3|Feliz|Alegría|*|
comprometen|3|Feliz|Alegría|*|
comprometerme|3|Feliz|Alegría|*|
comprometernos|3|Feliz|Alegría|*|
comprometía|3|Feliz|Alegría|*|
comprometida|3|Feliz|Alegría|*|
comprometido|3|Feliz|Alegría|*|
comprometidos|3|Feliz|Alegría|*|
comprometiendo|3|Feliz|Alegría|*|
comprometiera|3|Feliz|Alegría|*|
comprometieron|3|Feliz|Alegría|*|
comprometimos|3|Feliz|Alegría|*|
comprometio|3|Feliz|Alegría|*|
comprometió|3|Feliz|Alegría|*|
comprometo|3|Feliz|Alegría|*|
compromiso|3|Feliz|Alegría|*|
comunicación|3|Seguridad|Confianza|*|
comunicar|3|Franqueza|Confianza|*|
comunidad|3|Fascinado|Alegría|*|
conceder|3|Tranquilo|Alegría|*|
concedido|3|Entusiasmado|Alegría|*|
concesión|-2|Descontento|Enfado||
condenado|-1|Descontento|Enfado||
confía|1|Fe|Confianza||
confiable|2|Fe|Confianza||
confianza|2|Fe|Confianza||
confiar|2|Fe|Confianza|*|
conflicto|-1|Alarmado|Miedo||
conflictos|-1|Alarmado|Miedo||
conformidad|3|Esperanza|Confianza|*|
confrontando|-2|Enojado|Enfado|*|
confrontar|-2|Enojado|Enfado|*|
confrontaron|-2|Enojado|Enfado|*|
confronto|-2|Enojado|Enfado|*|
confrontó|-2|Enojado|Enfado|*|
confunda|-2|Confuso|Miedo|*|
confunden|-2|Confuso|Miedo|*|
confundí|-2|Confuso|Miedo|*|
confundidas|-2|Confuso|Miedo|*|
confundido|-2|Confuso|Miedo|*|
confundidos|-2|Confuso|Miedo|*|
confundiendo|-2|Confuso|Miedo|*|
confundieron|-2|Confuso|Miedo|*|
confundió|-2|Confuso|Miedo|*|
confundir|-2|Adverso|Enfado|*|
confundisrse|-2|Confuso|Miedo|*|
confusa|-2|Confuso|Miedo|*|
confusas|-2|Confuso|Miedo|*|
confusión|-2|Angustiado|Miedo|*|
confusiones|-2|Confuso|Miedo|*|
congestión|-2|Perjudicial|Enfado|*|
consecuencia|1|Enojado|Enfado|*|
consecuencias|1|Enojado|Enfado|*|
consecuendia|1|Enojado|Enfado|*|
consecuenia|1|Enojado|Enfado|*|
consejo|3|Franqueza|Confianza|*|
consentimiento|-3|Fe|Confianza||
considerable|2|Tranquilo|Alegría|*|
consideración|2|Fascinado|Alegría|*|
considerado|2|Seguridad|Confianza|*|
consistencia|2|Complacido|Alegría|*|
conspiración|2|Complacido|Alegría||
constancia|3|Seguridad|Confianza|*|
constantemente|3|Franqueza|Confianza|*|
consultar|2|Fe|Confianza|*|
consuma|-1|Confuso|Miedo|*|
consuman|-1|Confuso|Miedo|*|
consume|-1|Confuso|Miedo|*|
consumen|-1|Confuso|Miedo|*|
consumepara|-1|Confuso|Miedo|*|
consumes|-1|Confuso|Miedo|*|
consumía|-1|Confuso|Miedo|*|
consumida|-1|Confuso|Miedo|*|
consumidas|-1|Confuso|Miedo|*|
consumido|-1|Confuso|Miedo|*|
consumidor|-1|Confuso|Miedo|*|
consumidores|-1|Confuso|Miedo|*|
consumidos|-1|Confuso|Miedo|*|
consumiendo|-1|Confuso|Miedo|*|
consumieran|-1|Confuso|Miedo|*|
consumieron|-1|Confuso|Miedo|*|
consumimos|-1|Confuso|Miedo|*|
consumio|-1|Confuso|Miedo|*|
consumió|-1|Confuso|Miedo|*|
consumir|-1|Confuso|Miedo|*|
consumiría|-1|Confuso|Miedo|*|
consumnos|-1|Confuso|Miedo|*|
consumó|-1|Confuso|Miedo|*|
contadores|-1|Pánico|Miedo|*|
contaminación|-2|Perjudicial|Enfado||
contar|2|Esperanza|Confianza|*|
contener|1|Descontento|Enfado|*|
contenido|1|Esperanza|Confianza|*|
contento|3|Agradecido|Alegría|*|
contrabando|-2|Hostil|Enfado|*|
controversia|-2|Hostil|Enfado||
controvertido|1|Hostil|Enfado||
convenido|2|Determinación|Confianza|*|
convencido|4|Determinación|Confianza||
conveniente|2|Confiado|Alegría|*|
convertir|2|Tranquilo|Alegría|*|
coraje|-1|Hostil|Enfado||
correctamente|3|Entusiasmado|Alegría|*|
corrupción|1|Perjudicial|Enfado||
cortar|-2|Adverso|Enfado||
corte|-2|Adverso|Enfado||
cortes|-2|Adverso|Enfado||
cortesía|-1|fe|Confianza||
creativo|3|Entusiasmado|Alegría||
creciente|2|Entusiasmado|Alegría||
crecimiento|2|Entusiasmado|Alegría||
crediticia|-1|Pánico|Miedo|*|
crédito|-1|Pánico|Miedo|*|
créditos|-1|Pánico|Miedo|*|
cree|3|fe|Confianza|*|
creemos|3|fe|Confianza|*|
creen|3|fe|Confianza|*|
creeo|3|fe|Confianza|*|
creer|3|fe|Confianza|*|
creería|3|fe|Confianza|*|
creerías|3|fe|Confianza|*|
crees|3|fe|Confianza|*|
creí|3|fe|Confianza|*|
creyendo|2|Determinación|Confianza|*|
crímenes|-2|Pánico|Miedo||
criminal|-1|Pánico|Miedo||
crisis|-1|Pánico|Miedo||
crítica|-2|Molestia|Enfado||
críticas|-2|Pánico|Miedo|*|
criticidad|-2|Pánico|Miedo|*|
crítico|-2|Pánico|Miedo|*|
criticos|-2|Pánico|Miedo|*|
críticos|-2|Pánico|Miedo|*|
crónica|1|Tranquilo|Alegría|*|
cualidades|2|Entusiasmado|Alegría||
cubrir|2|Seguridad|Confianza||
cuidado|2|Seguridad|Confianza||
cuidadoso|2|Seguridad|Confianza||
cuidando|2|Confianza|||
culminación|3|Entusiasmado|Alegría|*|
culpa|-2|Desfavorable|Enfado||
culpabilidad|-2|Hostil|Enfado|*|
culpable|-2|Hostil|Enfado|*|
cumplimiento|2|Franqueza|Confianza|*|
cumplir|2|Alegre|Alegría|*|
curioso|2|Impresión|Sorpresa||
cuota|-1|Adverso|Enfado|*|
daña|-2|Molestia|Enfado|*|
dañada|-2|Molestia|Enfado|*|
dañadas|-2|Molestia|Enfado|*|
dañado|-2|Molestia|Enfado||
dañados|-2|Molestia|Enfado|*|
daño|-3|Molestia|Enfado||
daños|-2|Molestia|Enfado||
dañan|-2|Molestia|Enfado|*|
dañando|-2|Molestia|Enfado|*|
dañar|-2|molesto|Enfado|*|
dañara|-2|Molestia|Enfado|*|
dañaran|-2|Molestia|Enfado|*|
dañaría|-2|Molestia|Enfado|*|
dañarlas|-2|Molestia|Enfado|*|
dañarlo|-2|Molestia|Enfado|*|
dañaron|-2|Molestia|Enfado|*|
dañe|-2|Molestia|Enfado|*|
dañen|-2|Molestia|Enfado|*|
dañino|-2|Molestia|Enfado|*|
daño|-2|Perjudicial|Enfado|*|
dañó|-2|Molestia|Enfado|*|
daños|-2|Molestia|Enfado|*|
deberes|1|Desesperado|Miedo|*|
débil|1|Desesperado|Miedo||
debilitado|1|Hostil|Enfado|*|
declaración|2|Determinación|Confianza|*|
decepcionado|-2|Hostil|Enfado||
dedicada|2|Encantado|Alegría||
dedicada|2|Encantado|Alegría||
deducir|-1|Hostil|Enfado|*|
defecto|-3|Perjudicial|Enfado|*|
defectuoso|-3|Perjudicial|Enfado|*|
defender|1|Encantado|Alegría|*|
defensa|1|Franqueza|Confianza|*|
deficiencia|-2|Desafortunado|Enfado|*|
déficit|-2|Desafortunado|Enfado||
definitivo|2|Fe|Confianza|*|
dejar|-1|Adverso|Enfado|*|
dejado|-1|Adverso|Enfado||
delegar|3|Fe|Confianza|*|
deleite|-1|Adverso|Enfado||
delicioso|2|Entusiasmado|Alegría||
demanda|-2|Perjudicial|Enfado|*|
demandable|-2|Furioso|Enfado|*|
demandada|-2|Furioso|Enfado|*|
demandado|-2|Furioso|Enfado|*|
demandan|-2|Furioso|Enfado|*|
demandar|-2|Desfavorable|Enfado|*|
demandarlos|-2|Furioso|Enfado|*|
demandarme|-2|Furioso|Enfado|*|
demandas|-2|Furioso|Enfado|*|
demanden|-2|Enojado|Enfado|*|
demando|-2|Enojado|Enfado|*|
demolición|-2|Desfavorable|Enfado|*|
demora|-2|Molestia|Enfado|*|
demoraba|-2|Molestia|Enfado|*|
demorada|-2|Molestia|Enfado|*|
demorado|-2|Molestia|Enfado|*|
demorados|-2|Molestia|Enfado|*|
demoramos|-2|Molestia|Enfado|*|
demoran|-2|Molestia|Enfado|*|
demorar|-2|Molestia|Enfado|*|
demorara|-2|Molestia|Enfado|*|
demoraran|-2|Molestia|Enfado|*|
demorarán|-2|Molestia|Enfado|*|
demoraría|-2|Molestia|Enfado|*|
demorarnos|-2|Molestia|Enfado|*|
demoraron|-2|Molestia|Enfado|*|
demorarse|-2|Molestia|Enfado|*|
demoras|-2|Molestia|Enfado|*|
demoraste|-2|Molestia|Enfado|*|
demore|-2|Molestia|Enfado|*|
demoro|-2|Molestia|Enfado|*|
demoró|-2|Molestia|Enfado|*|
demostración|2|Franqueza|Confianza||
denegado|-1|Adverso|Enfado||
denuncia|-1|Desfavorable|Enfado|*|
denunciar|-1|Desfavorable|Enfado|*|
dependiente|-1|Desafortunado|Enfado|*|
derrota|-3|Desafortunado|Enfado||
desactivar|-1|Desfavorable|Enfado|*|
desacuerdo|1|Adverso|Enfado|*|
desafío|-2|Alarmado|Miedo||
desafortunado|-2|Desfavorable|Enfado|*|
desagradable|2|Alarmado|Miedo||
desajuste|-1|Desafortunado|Enfado|*|
desalojo|-1|Alarmado|Miedo|*|
desastre|-4|Alarmado|Miedo||
descarados|-4|Molestia|Enfado|*|
descarando|-4|Molestia|Enfado|*|
descararon|-4|Molestia|Enfado|*|
descarga|-2|Hostil|Enfado|*|
descenso|-2|Hostil|Enfado|*|
descompuesto|-2|Decepcionado|Tristeza|*|
descompuso|-2|Decepcionado|Tristeza|*|
desconectado|-2|Desafortunado|Enfado|*|
desconectar|-2|Desafortunado|Enfado|*|
desconexión|-2|Adverso|Enfado|*|
desconocido|-2|Confusión|Sorpresa|*|
descontado|-3|Confusión|Sorpresa||
descontento|-2|Descontento|Enfado|*|
descortés|-2|Molestia|Enfado|*|
descuido|-2|Enfado|Enfado|*|
deseable|2|Determinación|Confianza|*|
deseado|2|Determinación|Confianza|*|
desear|1|Determinación|Confianza||
desecho|1|Desafortunado|Enfado|*|
desechar|1|Desafortunado|Enfado||
desempleo|2|inseguro|Miedo||
deseo|2|Encantado|Alegría||
deseos|2|Encantado|Alegría||
desesperado|-3|Hostil|Enfado||
desfavorable|-3|Desagrado|Enfado|*|
